Player ID,Player Name,Team,Team Short,Role,Batting Style,Bowling Style
3545d689-5166-440e-9eaf-1409e554a547,"Nandre Burger","Rajasthan Royals",RR,Bowler,"Left Handed Bat","Left-arm fast-medium"
9a71201c-c377-45aa-a355-1af6d2c4bae3,"Ravi Bishnoi","Rajasthan Royals",RR,Bowler,"Right Handed Bat","Right-arm legbreak"
4c28bf05-bf2a-4a3e-bed4-c5bdf4fcd01b,"Ravi Singh","Rajasthan Royals",RR,WK-Batsman,"Left Handed Bat","Right-arm legbreak"
81b446e1-bfea-45a7-a15e-062b8157a323,"Ravindra Jadeja","Rajasthan Royals",RR,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
b51bb4e5-acdf-423b-abb3-7a1e6694d2c2,"Riyan Parag","Rajasthan Royals",RR,Batting Allrounder,"Right Handed Bat","Right-arm legbreak"
45613012-5c4f-4a7a-a1c4-d9827939b2bf,"Sam Curran","Rajasthan Royals",RR,Bowling Allrounder,"Left Handed Bat","Left-arm fast-medium"
3f18b02d-0e1a-49be-aec4-c2fc11503505,"Sandeep Sharma","Rajasthan Royals",RR,Bowler,"Right Handed Bat","Right-arm fast-medium"
4269d64c-962d-4cd9-b2d2-1a62f51256b8,"Shimron Hetmyer","Rajasthan Royals",RR,Batsman,"Left Handed Bat",""
c6442879-0071-438a-a48e-4eb9c549ec13,"Shubham Dubey","Rajasthan Royals",RR,Batsman,"Left Handed Bat","Right-arm offbreak"
fd2ee2dd-5051-4ced-baac-4c5a14253c6f,"Sushant Mishra","Rajasthan Royals",RR,Bowler,"Left Handed Bat","Left-arm fast-medium"
f3876b65-0643-49df-9255-4a06dd3fa051,"Tushar Deshpande","Rajasthan Royals",RR,Bowler,"Left Handed Bat","Right-arm fast-medium"
0f5502aa-40c8-43c6-a38f-1496000bd5b6,"Vaibhav Sooryavanshi","Rajasthan Royals",RR,Batsman,"Left Handed Bat","Left-arm orthodox"
0e2b638b-e356-41bf-b986-f0f0f84bad38,"Vignesh Puthur","Rajasthan Royals",RR,Bowler,"Right Handed Bat","Left-arm wrist-spin"
cdacd831-24fc-4aa3-94c5-0882bfaec018,"Yash Raj Punja","Rajasthan Royals",RR,--,"Left Handed Bat",""
a254feed-0d7c-4f04-a2ab-7bf9ceef156b,"Yashasvi Jaiswal","Rajasthan Royals",RR,Batsman,"Left Handed Bat","Right-arm legbreak"
2518d07c-55ea-416d-99d8-e847cba97ea2,"Yudhvir Singh Charak","Rajasthan Royals",RR,Bowler,"Right Handed Bat","Right-arm fast-medium"
849877f5-7704-4cad-b1ba-9e0b33aed35e,"Abhinandan Singh","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Right-arm fast-medium"
3f3ecf51-8411-4046-9477-18c0fe3da6ac,"Bhuvneshwar Kumar","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Right-arm fast-medium"
74c6584a-45a5-4781-a5e7-c0c9340da954,"Devdutt Padikkal","Royal Challengers Bengaluru",RCBW,Batsman,"Left Handed Bat","Right-arm offbreak"
d8b0e01b-b754-432b-80a4-551e8c7ec8ca,"Jacob Bethell","Royal Challengers Bengaluru",RCBW,Batting Allrounder,"Left Handed Bat","Left-arm orthodox"
6e05cbea-6a4b-42ef-8e2e-b44e4b434c2f,"Jacob Duffy","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Right-arm fast-medium"
e28de73b-f5df-49eb-bdf6-c50471319404,"Jitesh Sharma","Royal Challengers Bengaluru",RCBW,WK-Batsman,"Right Handed Bat",""
40ed69da-5d26-45eb-b9f8-72140b81b51a,"Jordan Cox","Royal Challengers Bengaluru",RCBW,WK-Batsman,"Right Handed Bat",""
2190c28d-1712-4fd2-ae44-9ac54319fc21,"Josh Hazlewood","Royal Challengers Bengaluru",RCBW,Bowler,"Left Handed Bat","Right-arm fast-medium"
2dbbe6b1-b7a7-4609-810a-df536c049ee0,"Kanishk Chouhan","Royal Challengers Bengaluru",RCBW,Batsman,"Right Handed Bat","Right-arm offbreak"
81c09c1b-1b1d-4e87-9eaa-d7d0a89a6159,"Krunal Pandya","Royal Challengers Bengaluru",RCBW,Batting Allrounder,"Left Handed Bat","Left-arm orthodox"
4c17aaba-7455-4e74-82ac-86e60d480999,"Mangesh Yadav","Royal Challengers Bengaluru",RCBW,Bowling Allrounder,"Left Handed Bat","Left-arm fast-medium"
eb911b3b-10b3-40f8-9294-e63ba030af83,"Nuwan Thushara","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Right-arm fast-medium"
6db25d60-ff96-4d8d-8d22-dedeeb5ffa29,"Philip Salt","Royal Challengers Bengaluru",RCBW,WK-Batsman,"Right Handed Bat","Right-arm offbreak"
88215ee9-ca67-48af-a3f0-6b38718bd830,"Rajat Patidar","Royal Challengers Bengaluru",RCBW,Batsman,"Right Handed Bat","Right-arm offbreak"
a1f7a1f3-f19c-43d2-bcd7-b4bae22f5842,"Rasikh Salam Dar","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Right-arm fast-medium"
7fd4fa20-bc49-4337-ae8a-540b67cb011d,"Romario Shepherd","Royal Challengers Bengaluru",RCBW,Bowling Allrounder,"Right Handed Bat","Right-arm fast-medium"
3676cc16-9ddf-446f-a4f1-93dbbef6e132,"Satvik Deswal","Royal Challengers Bengaluru",RCBW,Bowling Allrounder,"Left Handed Bat","Right-arm medium"
2bf2258f-f35e-4831-884e-f88ef46968f5,"Suyash Sharma","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Right-arm legbreak"
41f91a34-8989-4b88-96b9-9fbbe725776f,"Swapnil Singh","Royal Challengers Bengaluru",RCBW,Bowling Allrounder,"Right Handed Bat","Left-arm orthodox"
69718248-2a3a-45d4-9a2a-6f4dfc6942a5,"Tim David","Royal Challengers Bengaluru",RCBW,Batsman,"Right Handed Bat","Right-arm offbreak"
c3236037-6694-404a-8f01-9ad880564ea9,"Venkatesh Iyer","Royal Challengers Bengaluru",RCBW,Batting Allrounder,"Left Handed Bat","Right-arm medium"
b9701b53-3b9e-4eda-93b1-3543809674d4,"Vicky Ostwal","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Left-arm orthodox"
e5932c98-5c2a-4ade-8238-3b6382b18ef3,"Vihaan Malhotra","Royal Challengers Bengaluru",RCBW,Batsman,"Left Handed Bat","Right-arm offbreak"
c61d247d-7f77-452c-b495-2813a9cd0ac4,"Virat Kohli","Royal Challengers Bengaluru",RCBW,Batsman,"Right Handed Bat","Right-arm medium"
f061b5fc-cd70-480c-86aa-45c7828e739c,"Yash Dayal","Royal Challengers Bengaluru",RCBW,Bowler,"Right Handed Bat","Left-arm fast-medium"
83fe6ab6-d63c-420e-9416-a93d59a9a964,"Abhishek Sharma","Sunrisers Hyderabad",SRH,Batting Allrounder,"Left Handed Bat","Left-arm orthodox"
6ed13677-5228-45cf-8cfb-c72c476f8fdb,"Amit Kumar","Sunrisers Hyderabad",SRH,Unknown,"",""
196f622e-e1ae-4962-95b5-81324e26c5fe,"Aniket Verma","Sunrisers Hyderabad",SRH,Batsman,"Right Handed Bat","Right-arm medium"
d50e7092-dc22-4854-84d3-e08ccba038e9,"Brydon Carse","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm fast"
7aa19b4a-48ef-4d17-bef7-1e71f7829cb5,"Eshan Malinga","Sunrisers Hyderabad",SRH,Bowler,"Left Handed Bat","Right-arm fast-medium"
cc7c9a0b-b6ac-4109-84c8-dd9b1704308f,"Harsh Dubey","Sunrisers Hyderabad",SRH,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
15bccb4f-8c3c-4da6-acd9-551782278bfd,"Harshal Patel","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm fast-medium"
7d662361-8f12-4a52-9a4b-01e8734bd31d,"Heinrich Klaasen","Sunrisers Hyderabad",SRH,WK-Batsman,"Right Handed Bat","Right-arm offbreak"
9ae68636-48d9-488f-8adc-e62a19815d85,"Ishan Kishan","Sunrisers Hyderabad",SRH,WK-Batsman,"Left Handed Bat",""
6d751be3-3023-43b9-8415-8259d19689fd,"Jack Edwards","Sunrisers Hyderabad",SRH,Batsman,"Right Handed Bat","Right-arm medium"
f589d2a9-4e44-464d-9741-e224354a1370,"Jaydev Unadkat","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Left-arm fast-medium"
b4cc5506-212f-4d6b-825d-8ec89e1e084a,"Kamindu Mendis","Sunrisers Hyderabad",SRH,Batting Allrounder,"Left Handed Bat","Right-arm offbreak"
391537b8-1983-4080-8737-976c7e5bfab7,"Krains Fuletra","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat",""
d1c0a448-6ee6-473a-90a2-e6a486698a8a,"Liam Livingstone","Sunrisers Hyderabad",SRH,Batting Allrounder,"Right Handed Bat","Right-arm legbreak"
5bf98798-b2b0-47d2-b799-5307c0fd4936,"Nitish Kumar Reddy","Sunrisers Hyderabad",SRH,Batting Allrounder,"Right Handed Bat","Right-arm fast-medium"
0cf24408-c280-406d-8d7a-a78b0c3964ed,"Onkar Tukaram Tarmale","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm fast-medium"
13b3d56e-0fba-4d31-a174-d211211404e2,"Pat Cummins","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm fast"
8f631eea-fa55-4296-b7cb-4f51e8ee2c98,"Praful Hinge","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm fast-medium"
02247315-1e19-4e52-b800-5f39efaf3839,"Sakib Hussain","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm fast-medium"
80c06194-6b4e-44a3-978f-ddacb33a95bb,"Salil Arora","Sunrisers Hyderabad",SRH,WK-Batsman,"Right Handed Bat",""
f00ccdba-6137-4852-a490-ba782044b866,"Shivam Mavi","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm fast-medium"
80c68f84-9ddf-4f6d-9672-9b21d51fd44e,"Shivang Kumar","Sunrisers Hyderabad",SRH,Batting Allrounder,"Right Handed Bat","Left-arm orthodox"
e3686ffa-fc7e-4cd0-ad49-7c355ab6691d,"Smaran Ravichandran","Sunrisers Hyderabad",SRH,Batsman,"Left Handed Bat","Right-arm offbreak"
d6720897-e81d-4703-bf33-d2b60c973d30,"Travis Head","Sunrisers Hyderabad",SRH,Batsman,"Left Handed Bat","Right-arm offbreak"
f183c67e-0b7c-44e5-8ab7-fe1e0be672f3,"Zeeshan Ansari","Sunrisers Hyderabad",SRH,Bowler,"Right Handed Bat","Right-arm legbreak"
